"species","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd","PC6_mean","PC6_sd","PC7_mean","PC7_sd","PC8_mean","PC8_sd"
"Amphiprion_chrysogaster",142.547538824484,55.1814121143965,87.3993939284896,13.8629028433004,-96.4747693751275,57.7740582756415,-61.7919540846073,75.5974421584249,-32.874496999371,43.9578955429752,-71.1955990504378,40.0154518804275,-110.815905247923,47.9103260069784,24.0576398770644,19.6535050693842
"Amphiprion_chrysopterus",96.7231404037242,NA,192.48341057527,NA,7.01525390314755,NA,-151.73779722234,NA,-103.922828450846,NA,-91.878330975019,NA,-104.562297664893,NA,80.1631982361523,NA
"Amphiprion_clarkii",98.4802644411568,71.2715206077215,96.9718752534455,10.0136767043676,-17.0652613690719,57.9527194787172,-21.2166627975114,92.8960928926838,22.6188837496481,37.0425685416678,-96.4728469420527,34.852559872802,-238.883862407124,48.8820317220058,71.1814646772731,37.1234485330966
"Amphiprion_ephippium",20.1397389040119,NA,362.326784354593,NA,-8.42668440483864,NA,-44.164547266475,NA,136.100530452202,NA,-127.347848998041,NA,40.1082225443661,NA,-85.3156789563117,NA
"Amphiprion_frenatus",198.22946346163,14.1501168569442,246.552096114176,35.4386968552081,-16.7583516273451,59.8468818232691,-68.893019428771,36.7187727171873,34.1785704187279,33.8185414097047,-127.480839545633,31.8110438818233,27.0295763765598,21.8469474654056,-7.83583727106736,26.944933609207
"Amphiprion_latezonatus",-20.9152760660511,97.2259250319111,-17.675884660867,62.5322146979878,-127.61435959074,28.936937138762,-84.5780528568726,25.2517268062953,-28.7790928432049,77.2566627907089,-12.0585738596435,8.57239346517825,-292.213793228744,101.292683702671,-68.8220749727359,28.0087727791619
"Amphiprion_latifasciatus",-114.130077110191,73.2631698937622,134.380767170041,1.78327711716153,0.100719609226831,24.8039128587196,-146.580462524411,14.6143644887254,23.8741781472073,4.37623068596765,-125.746632788243,39.9959141046603,-223.095722981899,53.7219532421618,-29.6225543839671,24.978289479498
"Amphiprion_leucokranos",-104.371938622793,NA,378.940717570733,NA,17.8696319269738,NA,-137.123239978318,NA,-2.27990585492469,NA,-127.156351421764,NA,46.6112164643839,NA,-5.13824779804584,NA
"Amphiprion_mccullochi",199.653212462469,87.1300326449707,69.0131312825736,70.1565434877268,22.026785385961,16.9208117527743,-16.5581361947608,20.6102468007447,-49.5827130266962,25.3906348039984,-4.25561785860848,8.0104766880725,-102.963796728669,19.0284468426108,84.2176418616729,8.60887186571362
"Amphiprion_melanopus",119.366898275404,NA,240.826212317136,NA,10.5302143314049,NA,-104.951387637037,NA,-127.635584485024,NA,-143.379671050271,NA,34.884142136966,NA,64.7336167714345,NA
"Amphiprion_nigripes",-60.8323101060096,NA,176.880639725288,NA,-1.07889924609797,NA,-114.868407537029,NA,19.68643958191,NA,32.8448615205128,NA,1.26175519522852,NA,8.49065786751583,NA
"Amphiprion_ocellaris",-231.926203358235,24.4375314097452,212.922180560461,53.1760772656869,-45.6101999344351,86.2543244928995,-96.3944663261911,62.2499634935484,1.89308200943722,45.907382742053,-129.525743974317,4.8966016817428,-44.6911085113649,20.0660389485113,7.4746570445394,32.1472988758772
"Amphiprion_omanensis",170.35913325122,NA,152.230092863827,NA,26.4713359418355,NA,-56.2134695237537,NA,-30.9217321327121,NA,9.34410347685985,NA,-48.717533939208,NA,-13.1215340312047,NA
"Amphiprion_pacificus",-58.0406054633579,NA,234.635824458,NA,-4.24715261236604,NA,-89.6714564178678,NA,52.2091251459017,NA,78.8988083032787,NA,19.311648912623,NA,-34.2394048242299,NA
