"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Amblyglyphidodon batunaorum_6619525",0.547549971732077,0.188375141028401,0.453233183329475,0.473852800498489,0.024598396408562,0.310623116839258,0.0950289701060381,0.597190409282066,1.29580857273403,11.3842770094593,0.552091336772577,"Amblyglyphidodon_batunaorum"
"Amblyglyphidodon batunaorum_735040",0.529702502845072,0.205026650748132,0.52611711262605,0.452129754589513,0.0208263970167996,0.222930997405799,0.0420227046821526,0.654933111668633,1.32566100788887,14.1381776928232,0.550428499970555,"Amblyglyphidodon_batunaorum"
"Amblyglyphidodon curacao_122565440",0.59387036651659,0.209884256955833,0.415926113260269,0.477638555302902,0.0173104776843616,0.312147609678555,0.12021966979734,0.633451309831039,1.26420023581146,14.254836684828,0.537582317512914,"Amblyglyphidodon_curacao"
"Amblyglyphidodon curacao_1351844",0.55805215330658,0.236554626569942,0.488029247922165,0.388581368141183,0.0212105329572803,0.264395060434328,0.115487262946068,0.541598239693753,1.17490571934809,13.6343466171159,0.556147920420716,"Amblyglyphidodon_curacao"
"Amblyglyphidodon curacao_58414482",0.662985164009151,0.184089964913834,0.439040612905772,0.311818248171243,0.0189524955651609,0.268835092885994,0.0710502456195665,0.562251615364731,1.11477645674271,11.8288235128154,0.544916694481157,"Amblyglyphidodon_curacao"
"Amblyglyphidodon flavilatus_151226651",0.500129460417311,0.200556399607464,0.346231615815683,0.422779127772605,0.0253099950684045,0.232675354997977,0.089354435766303,0.627245179729911,1.29733546101105,12.6879232910284,0.559108004467184,"Amblyglyphidodon_flavilatus"
"Amblyglyphidodon flavilatus_72014286",0.540523926821465,0.200077105860538,0.581819454643046,0.226603910592724,0.0221968663322194,0.288035509504094,0.0763349565351268,0.58993529148894,1.31709839685761,13.5101975667149,0.553736428670808,"Amblyglyphidodon_flavilatus"
"Amblyglyphidodon flavilatus_8795334",0.586872885632373,0.191827447370657,0.434392276821683,0.393223652004718,0.0150451308555971,0.264155891170492,0.174823140796721,0.548530076548168,1.15498701487763,16.8146698563714,0.537109030125672,"Amblyglyphidodon_flavilatus"
"Amblyglyphidodon flavopurpureus_2687822",0.670710274573251,0.247643099513043,0.6653795629504,0.212637812082397,0.0140449809205652,0.359558653690358,0.0823699324219591,0.476063514340076,1.01651649507033,16.7324055043566,0.545433486029098,"Amblyglyphidodon_flavopurpureus"
"Amblyglyphidodon flavopurpureus_37259479",0.554798382585689,0.230912044787667,0.439745776696244,0.384895119119179,0.0178709140596112,0.32699168053978,0.100469646471979,0.509887109426207,1.1730122012342,14.8600486236811,0.549557278378255,"Amblyglyphidodon_flavopurpureus"
"Amblyglyphidodon indicus_138861044",0.540005822058739,0.17446182789862,0.490874648688921,0.451950672080369,0.0165485672305093,0.300398653529717,0.0659968109291768,0.626776898423862,1.31473670772706,15.6804340251344,0.531512789139629,"Amblyglyphidodon_indicus"
"Amblyglyphidodon indicus_144530181",0.540561610196708,0.160891858753904,0.237343392704579,0.565777146657234,0.0194025547600373,0.282007277465102,0.10034225776073,0.636688920024608,1.36747189328496,14.796557316159,0.536511588817476,"Amblyglyphidodon_indicus"
"Amblyglyphidodon leucogaster_111028858",0.586938733816427,0.136766853063381,0.31145795460183,0.365908623859426,0.024062263920902,0.300803554162818,0.138987945793702,0.564083162683273,1.36327663954301,11.8553555147406,0.529004416975484,"Amblyglyphidodon_leucogaster"
