TraitSet,PC,model,AIC,k,n_obs,AICc,DeltaAICc,Weight
Morphology,morphoPC6,OUM_Diet,868.8954960580984,5,343,869.073537601125,1.00090184359874,0.3743142847977277
Morphology,morphoPC6,OUM_Symbiosis,876.7139310610746,5,343,876.8919726041013,8.81933684657497,0.00750731798926646
Morphology,morphoPC6,OUM_Habitat,867.7383073993174,7,343,868.0726357575263,0,0.6174182678686914
Morphology,morphoPC7,WN,976.4256673306086,1,343,976.4373975358872,54.9142904756352,5.9389148295923e-13
Morphology,morphoPC7,BM,1089.2520905464457,1,343,1089.2638207517243,167.74071369147237,1.8782811035807543e-37
Morphology,morphoPC7,EB,1091.2891928306,1,343,1091.3009230358787,169.7778159756267,6.782806829392331e-38
Morphology,morphoPC7,OU,935.0649937449605,1,343,935.07672395023906,13.553616889987097,5.68935783896126e-4
Morphology,morphoPC7,OUM_Diet,921.4364377938467,5,343,921.6144793368734,0.09137227662142777,0.47681787169503687
Morphology,morphoPC7,OUM_Symbiosis,927.4561891438154,5,343,927.6342306868421,6.1111236265901425,0.023506075570396245
Morphology,morphoPC7,OUM_Habitat,921.188778702043,7,343,921.523107060252,0,0.499107116950077
Morphology,morphoPC8,WN,976.4256673306087,1,343,976.4373975358873,14.18906099517369,5.447494175355431e-4
Morphology,morphoPC8,BM,1234.1802538865682,1,343,1234.1919840918467,271.94364755113315,5.827730519261816e-60
Morphology,morphoPC8,EB,1236.2174647647114,1,343,1236.22919496999,273.9808584292764,2.1043827825938854e-60
Morphology,morphoPC8,OU,968.2206771606265,1,343,968.232407365905,5.984070825191452,0.032952453207353384
Morphology,morphoPC8,OUM_Diet,971.0566845002952,5,343,971.2347260433219,8.98638950260829,0.007344166847102237
Morphology,morphoPC8,OUM_Symbiosis,962.0702949976869,5,343,962.2483365407136,0,0.6566171493873091
Morphology,morphoPC8,OUM_Habitat,963.463773637282,7,343,963.7981019954909,1.5497654547773436,0.30254148114069973
Morphology,morphoPC9,WN,976.4256673306088,1,343,976.4373975358874,49.95012029387976,1.3788124467934523e-11
Morphology,morphoPC9,BM,1285.8255458794315,1,343,1285.83727608471,359.34999884270246,8.998605600624941e-79
Morphology,morphoPC9,EB,1287.8628879415,1,343,1287.8746181467786,361.387340904771,3.2491668220682915e-79
Morphology,morphoPC9,OU,971.4202565060264,1,343,971.431986711305,44.94470946929732,1.684287965652357e-10
Morphology,morphoPC9,OUM_Diet,972.1795955599293,5,343,972.357637102956,45.87035986094838,1.0602637589368256e-10
Morphology,morphoPC9,OUM_Symbiosis,926.309235698981,5,343,926.4872772420076,0,0.9683581280724847
Morphology,morphoPC9,OUM_Habitat,932.9951902648199,7,343,933.3295186230289,6.8422413810212674,0.031641871639272096
Morphology,morphoPC10,WN,976.4256673306087,1,343,976.4373975358873,0,0.6393609852528622
Morphology,morphoPC10,BM,1294.9144679999793,1,343,1294.9261982052578,318.48880066937056,4.4338581219815613e-70
Morphology,morphoPC10,EB,1296.9518268533543,1,343,1296.963557058633,320.5261595227456,1.6009395669627933e-70
Morphology,morphoPC10,OU,979.5659595778043,1,343,979.5776897830829,3.140292247195589,0.13299653741640724
Morphology,morphoPC10,OUM_Diet,979.3824775287932,5,343,979.5605190718198,3.123121535932569,0.13414327552143981
Morphology,morphoPC10,OUM_Symbiosis,980.4985129981807,5,343,980.6765545412073,4.239157005320067,0.0767758942827594
Morphology,morphoPC10,OUM_Habitat,983.3904007983824,7,343,983.7247291565914,7.287331620704094,0.016723307526531422
Morphology,morphoPC11,WN,976.4256673306086,1,343,976.4373975358872,69.54533690569679,7.898933425228588e-16
Morphology,morphoPC11,BM,1154.2963145074993,1,343,1154.308044712778,247.41598408258756,1.8769304183050275e-54
Morphology,morphoPC11,EB,1156.3335393050058,1,343,1156.3452695102844,249.45320888009405,6.777514084148336e-55
Morphology,morphoPC11,OU,955.1464098709631,1,343,955.1581400762417,48.26607944605132,3.298378571471725e-11
Morphology,morphoPC11,OUM_Diet,919.1762965720013,5,343,919.354338115028,12.462277484837614,0.0019633481239746827
Morphology,morphoPC11,OUM_Symbiosis,906.7140190871637,5,343,906.8920606301904,0,0.9980366357633791
Morphology,morphoPC11,OUM_Habitat,942.4452229152197,7,343,942.7795512734286,35.887490643238266,1.60796616387733e-8
