model,AIC,k,n_obs,AICc,PC,region,TraitSet,DeltaAICc,Weight
OUM_Diet,62.45418202994715,5,343,62.63222357297386,colorPC4,EPO,Color,4.838362997150043,0.014574593660632181
OUM_Habitat,60.08427395330736,4,343,60.20261714857363,colorPC4,EPO,Color,2.408756572749816,0.049111001107484883
OUM_Symbiosis,57.675517380557544,4,343,57.793860575823814,colorPC4,EPO,Color,0,0.16376972924898792
DDlin,58.3211202805542,3,343,58.39191674073119,colorPC4,EPO,Color,0.5980561649073763,0.12144157327996724
DDexp,58.148318881629294,3,343,58.21911534180629,colorPC4,EPO,Color,0.4252547659824728,0.1324008373964887
MC,60.779063882227874,3,343,60.84986034240487,colorPC4,EPO,Color,3.0559997665810528,0.03553298670262703
WN,65.14617824349486,1,343,65.15790844877345,colorPC4,AO,Color,0,0.5716576015865317
BM,103.04908291056532,1,343,103.06081311584391,colorPC4,AO,Color,37.90290466707046,3.3622098053171497e-9
EB,105.52796026259765,1,343,105.53969046787624,colorPC4,AO,Color,40.381782019102786,9.735167600233947e-10
OU,67.62481204936861,1,343,67.63654225464721,colorPC4,AO,Color,2.4786338058737556,0.16554173042002543
OUM_Diet,71.63180232950137,5,343,71.80984387252808,colorPC4,AO,Color,6.651935423754622,0.02054407342722857
OUM_Habitat,69.108861627323,6,343,69.358861627323,colorPC4,AO,Color,4.20095317854954,0.06996979327328214
OUM_Symbiosis,70.32979038617995,4,343,70.44813358144623,colorPC4,AO,Color,5.290225132672774,0.040586181323717545
DDlin,93.38530719783078,3,343,93.45610365800778,colorPC4,AO,Color,28.298195209234322,4.095066599890031e-7
DDexp,68.02313608225387,3,343,68.09393254243086,colorPC4,AO,Color,2.9360240936574087,0.13170020518154635
MC,105.52775818027526,3,343,105.59855464045225,colorPC4,AO,Color,40.440646191678795,9.45281677615636e-10
WN,318.7579479033876,1,343,318.7696781086662,colorPC5,IO,Color,11.74168570248446,0.001588180824218473
